Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0EIsxWGPSte4cAHZw5aXr4,"5pKCCKE2ajJHZ9KAiaK11H","We Ride","A Girl Like Me","Rihanna",2006-04-10,236680,64,spotify:user:itsbig_al,2020-11-06T09:50:43Z,"barbadian pop,pop,urban contemporary",0.394,0.744,5,-5.465,0,0.276,0.00175,0,0.308,0.772,78.696,4
7lurcq2Yw96B1K0KOJAHxg,"1Xfmvd48oOhEWkscWyEbh9,5rkVyNGXEgeUqKkB5ccK83","Southside","Southside","Lloyd,Ashanti",2004-01-01,277840,61,spotify:user:itsbig_al,2020-11-06T09:50:45Z,"hip pop,r&b,southern hip hop,trap,urban contemporary,dance pop",0.688,0.404,9,-9.481,0,0.0818,0.377,0,0.0813,0.448,75.007,3
0Z4DAkZzXkupqCtT7BGU5F,"23zg3TcAtWQy7J6upgbUnj","Moving Mountains","Here I Stand","USHER",2008-05-27,298053,52,spotify:user:itsbig_al,2020-11-06T09:50:46Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.72,0.734,6,-4.515,1,0.0316,0.0856,0,0.303,0.37,115.999,4
5gikplVdSoYfG0YKCRuicp,"20s0P9QLxGqKuCsGwFsp7w","Music For Love","Go","Mario",2007-12-11,229600,53,spotify:user:itsbig_al,2020-11-06T09:50:49Z,"dance pop,r&b,southern hip hop,urban contemporary",0.705,0.423,0,-5.855,1,0.0451,0.106,0,0.209,0.466,123.431,4
05wbsMDvcaD56O4SnESOaJ,"3sMYEBy0CZFxedcnm9i9hf","How To Deal","The One","Frankie J",2003,230506,45,spotify:user:itsbig_al,2020-11-06T09:50:52Z,"hip pop,pop rap,southern hip hop,urban contemporary",0.749,0.495,2,-8.456,1,0.0332,0.0584,0,0.201,0.645,126.12,4
3g6SuyjGaGyAXmjvdNI1IU,"0AunegKKH2ys98aLxq8G1A","4 Minutes","Director","Avant",2006-01-01,240320,52,spotify:user:itsbig_al,2020-11-06T09:50:55Z,"contemporary r&b,r&b,urban contemporary",0.828,0.6,10,-5.429,1,0.162,0.0942,0,0.126,0.655,119.969,4
2o6bk47YQJuuyU58c2M29g,"3X458ddYA2YcVWuVIGGOYe,2iojnBLj0qIMiKPvVhLnsH","Yesterday (feat. Trey Songz) - Toni/Trey Version","Pulse (Deluxe)","Toni Braxton,Trey Songz",2010-05-03,226506,38,spotify:user:itsbig_al,2020-11-06T09:51:01Z,"contemporary r&b,dance pop,r&b,urban contemporary,southern hip hop,trap",0.436,0.679,5,-4.27,1,0.0435,0.182,0,0.304,0.706,79.646,4
030OCtLMrljNhp8OWHBWW3,"23zg3TcAtWQy7J6upgbUnj","Hey Daddy (Daddy's Home)","Raymond v Raymond (Expanded Edition)","USHER",2010-03-30,224093,81,spotify:user:itsbig_al,2020-11-06T09:51:13Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.59,0.698,11,-4.262,1,0.0286,0.000176,0,0.107,0.352,95.975,4
79f1hdd6EYznP5TA70A3ly,"21E3waRsmPlU7jZsS13rcj","Single","Year Of The Gentleman (Bonus Track Edition)","Ne-Yo",2008-01-01,257933,51,spotify:user:itsbig_al,2020-11-06T09:51:17Z,"dance pop,pop,r&b,urban contemporary",0.705,0.912,0,-5.594,1,0.0684,0.0752,0,0.106,0.232,134.019,4
4719foL6R25RSHSJ1shNaj,"23zg3TcAtWQy7J6upgbUnj","Confessions","Confessions (Expanded Edition)","USHER",2004-03-23,260666,62,spotify:user:itsbig_al,2020-11-06T09:51:23Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.83,0.417,8,-7.559,1,0.0423,0.178,0,0.0858,0.559,115.985,4
1XE1UGRpvvkaFEeqe1OJpw,"3sMYEBy0CZFxedcnm9i9hf","Don't Wanna Try","The One","Frankie J",2003,245293,47,spotify:user:itsbig_al,2020-11-06T09:51:24Z,"hip pop,pop rap,southern hip hop,urban contemporary",0.655,0.433,5,-7.577,0,0.0348,0.444,0,0.221,0.199,130.127,4
5L0KDoZklMgs9GPoonneEl,"23zg3TcAtWQy7J6upgbUnj","Nice & Slow - Radio Version","My Way","USHER",1997-09-16,227906,66,spotify:user:itsbig_al,2020-11-06T09:51:26Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.819,0.299,5,-11.964,0,0.122,0.153,0,0.3,0.515,121.913,4
77fP7UixHMYEIFT8NS92Ul,"23zg3TcAtWQy7J6upgbUnj","Papers","Raymond v Raymond (Expanded Edition)","USHER",2010-03-30,261413,46,spotify:user:itsbig_al,2020-11-06T09:51:28Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.802,0.556,1,-5.395,1,0.0418,0.0339,0,0.0958,0.158,120.047,4
4awnQTwynhz0j6Rk2ZwM6A,"1goOx6gnQdUllLfSMsL4Rt","Circle","Veteran","Marques Houston",2007-01-01,245026,48,spotify:user:itsbig_al,2020-11-06T09:51:31Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.676,0.662,1,-6.438,1,0.0442,0.106,0,0.122,0.464,127.999,4
6IUiqtI8tE49sqGbmtrNd8,"23zg3TcAtWQy7J6upgbUnj","There Goes My Baby","Raymond v Raymond (Expanded Edition)","USHER",2010-03-30,281293,61,spotify:user:itsbig_al,2020-11-06T09:55:30Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.626,0.52,9,-8.077,0,0.0892,0.175,0,0.13,0.257,77.468,4
4xvpqdCYXal1WPjTxk1TIF,"21E3waRsmPlU7jZsS13rcj","Make It Work","Because Of You","Ne-Yo",2007-01-01,248933,42,spotify:user:itsbig_al,2020-11-06T09:55:33Z,"dance pop,pop,r&b,urban contemporary",0.733,0.43,0,-5.678,0,0.0358,0.18,0,0.114,0.646,118.007,4
2mtbxfirYoXQL9Xfwdsko1,"2iojnBLj0qIMiKPvVhLnsH","Missin' You","Trey Day","Trey Songz",2007-10-01,214666,46,spotify:user:itsbig_al,2020-11-06T09:55:41Z,"dance pop,r&b,southern hip hop,trap,urban contemporary",0.631,0.564,11,-6.703,1,0.224,0.0291,0,0.103,0.793,100.092,4
0wUxh6XMc698xPCfgBaPRV,"60d24wfXkVzDSfLS6hyCjZ,4UffC3o3JiLSg7pa5DpQbp","Dreamer","Dreamer","Martin Garrix,Mike Yung",2018-11-01,193399,44,spotify:user:itsbig_al,2020-11-06T20:01:01Z,"dutch edm,edm,pop,pop dance,progressive house,pop soul",0.532,0.639,5,-7.419,0,0.0388,0.0507,0.00131,0.106,0.198,105,4
68vgtRHr7iZHpzGpon6Jlo,"23zg3TcAtWQy7J6upgbUnj,3DiDSECUqqY1AuBP8qtaIa","My Boo","Confessions (Expanded Edition)","USHER,Alicia Keys",2004-03-23,223440,80,spotify:user:itsbig_al,2020-11-06T20:58:33Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,neo soul",0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,4
6gpEUabUe4Qtc0jek4BC50,"23zg3TcAtWQy7J6upgbUnj","Burn - Radio Mix","Burn","USHER",2004-03-08,256653,51,spotify:user:itsbig_al,2020-11-06T20:58:43Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.79,0.536,1,-6.192,1,0.11,0.495,0,0.111,0.536,119.904,4
7wBThXx7BGZHJJ3aN3OPvv,"23zg3TcAtWQy7J6upgbUnj","Confessions Part II","Confessions (Expanded Edition)","USHER",2004-03-23,211200,71,spotify:user:itsbig_al,2020-11-06T20:58:47Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,4
4rVW6XqAsSaf5vOwc8FREW,"5y2Xq6xcjJb2jVM54GHK3t,01aC2ikO4Xgb2LUpf9JfKp","Wild (feat. Gary Clark Jr.)","Bigger Love","John Legend,Gary Clark Jr.",2020-06-19,196906,58,spotify:user:itsbig_al,2020-11-08T04:05:35Z,"neo soul,pop,pop soul,urban contemporary,electric blues,modern blues rock,rock,soul blues,texas blues",0.557,0.585,8,-6.201,1,0.0431,0.036,0,0.176,0.305,63.392,4
6lL3GA2rq8UvdvjMdp2H5g,"5y2Xq6xcjJb2jVM54GHK3t","Actions","Bigger Love","John Legend",2020-06-19,174133,36,spotify:user:itsbig_al,2020-11-08T04:05:42Z,"neo soul,pop,pop soul,urban contemporary",0.572,0.898,9,-3.661,0,0.241,0.154,0,0.232,0.494,82.934,4
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,86,spotify:user:itsbig_al,2020-11-08T04:13:55Z,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
5F7IJrXD6Fa3EmqoYE0gU4,"7bXgB6jMjp9ATFy66eO08Z","Say Goodbye","Chris Brown (Expanded Edition)","Chris Brown",2005,289760,68,spotify:user:itsbig_al,2020-11-08T04:27:43Z,"r&b,rap",0.8,0.502,1,-6.062,1,0.0371,0.00167,0,0.0784,0.388,115.091,4
7wZUrN8oemZfsEd1CGkbXE,"5lKZWd6HiSCLfnDGrq9RAm","Bleeding Love","Spirit","Leona Lewis",2007,262466,77,spotify:user:itsbig_al,2020-11-09T01:08:44Z,"british soul,dance pop,pop,talent show",0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,4
5ojJNnX5ND2gMGojPd3NiO,"7r8RF1tN2A4CiGEplkp1oP","In Those Jeans","The Senior","Ginuwine",2003-04-08,243306,61,spotify:user:itsbig_al,2020-11-09T01:09:02Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.691,0.541,1,-5.873,1,0.0776,0.508,0,0.0753,0.319,127.683,4
6uSa5iCMwPr10Ftpz8w09b,"3UVRliakQfa1pMWIsNuiZ8","Love","Aijuswanaseing","Musiq Soulchild",2000-01-01,304666,56,spotify:user:itsbig_al,2020-11-09T01:09:05Z,"contemporary r&b,neo soul,new jack swing,r&b,urban contemporary",0.569,0.385,1,-9.919,0,0.0499,0.342,0,0.0876,0.339,99.749,4
2zbjlcLi1VQWqDNYdhyx1l,"7r8RF1tN2A4CiGEplkp1oP","So Anxious","100% Ginuwine","Ginuwine",1999-03-15,276066,67,spotify:user:itsbig_al,2020-11-09T01:09:09Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.733,0.395,6,-11.959,0,0.0366,0.279,0.00000237,0.468,0.661,96.085,4
4V2F0DZrAXOWq9hkwMMG3x,"0ZrpamOxcZybMHGg1AYtHP","Lost Without U","The Evolution of Robin Thicke","Robin Thicke",2006-01-01,254146,67,spotify:user:itsbig_al,2020-11-09T01:09:12Z,"dance pop,neo soul,pop rap,r&b,urban contemporary",0.664,0.351,0,-12.136,1,0.118,0.226,0.00000238,0.106,0.816,113.204,5
